NUM TDA,NOMBRE DE TDA,CADENA,FORMATO,MUNICIPIO/CIUDAD,ESTADO,DIVISION,DEPOSITO / DISTRIBUIDOR,ESTRUCTURA,GRADO
1683,Awful Pink GreatShop,proveedor_2,Leftorium,Bloody Yellow Town,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
1684,Great Dark Stationer,proveedor_2,Leftorium,Tiny Violet Empire,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
1685,Enlightened Lavender GipsyTrade,proveedor_2,Leftorium,Big Purple ,Mobartho,PENÍNSULA,Gusmorus Inc.,DISTRIBUIDORES,VI
1686,Interesting Violet TallMarket,proveedor_2,Leftorium,Legendary Orange Dirt,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
1689,Horrible Purple Grocery,proveedor_2,AllInOne,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
1690,Bad Dark AllInOne,proveedor_2,AllInOne,Impressive Orchid Soil,Madgulrus,NORESTE,Barrusgul Corp.,FORANEO,II
1691,First Yellow TallMarket,proveedor_2,AllInOne,Bloody Beige Tree,Lorvalmo,BAJÍO,Thrilear Industrail,FORANEO,IV
1692,Short Salmon Grocery,proveedor_2,AllInOne,Little Silver Polis,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
1693,Empty Burgundy Jeweller,proveedor_2,AllInOne,Tall Aquamarine Rock,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
1696,Evil Beige Cafe,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1697,Last Salmon Laundrette,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1698,Tiny Grey Shop,proveedor_2,Grocery,Last Pink River,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1699,Last Silver Cafe,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1700,First White Fishmonger,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1701,Dead Turquoise Tobacconist,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1702,Singing Brown TinyShop,proveedor_2,Grocery,Old Sea Green Soil,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1703,Angry Yellow Mall,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1705,Tiny Orchid SmallShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1706,Dirty Green Center,proveedor_2,SmallShop,Horrible Sky Blue City,Thogulgul,NORESTE,Barrusgul Corp.,FORANEO,II
1707,Horrible Aquamarine GreatShop,proveedor_2,Grocery,Last Pink River,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1709,Little Sea Green Fishmonger,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1710,Great Fuchsia Bank,proveedor_2,SmallShop,Young Cyan Peak,Momamo,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
1711,Horrible Blue BigCenter,proveedor_2,Grocery,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1713,Dull Purple Florist,proveedor_2,SmallShop,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1714,Tiny Sky Blue Baker,proveedor_2,SmallShop,Massive Yellow Burgo,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
1715,Bloody Violet SuperMarket,proveedor_2,SmallShop,High Chartreuse Empire,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1716,Horrible Navy HairDresser,proveedor_2,SmallShop,Old Sea Green Soil,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1718,Last Chartreuse Deli,proveedor_2,SmallShop,Evil Sea Green Tower,Valargorn,NOROESTE,Lorealf Industrail,FORANEO,II
1719,Small Maroon AllInOne,proveedor_2,SmallShop,Clean Turquoise Comet,Nabargus,OCCIDENTE,Colorvit Ifonforge Industries,FORANEO,III
1721,Enlightened Lavender Laundrette,proveedor_2,SmallShop,Dull Lavender Forest,Lorgulgus,CENTRO-SUR,Thorusrus Vocals,DISTRIBUIDORES,IV
1722,Impressive Green Fishmonger,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Lorthogus Toughworks,METRO,V
1723,Horrible Pink Butcher,proveedor_2,Grocery,Little Burgundy Ship,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1724,Clean Salmon Fishmonger,proveedor_2,Leftorium,Massive Blue Jungle,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1726,Funny Blue TinyShop,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1727,High Crimson SuperMarket,proveedor_2,Leftorium,Little Azure Butter,Alfthrilmad,NOROESTE,Argullor Ifonforge Industries,FORANEO,II
1728,Tall Khaki TallMarket,proveedor_2,AllInOne,Rare Black Hole,Rodbare,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
1729,Rare Chocolate Deli,proveedor_2,SmallShop,Dead Cyan Star,Erodmo,BAJÍO,Argule Ifonforge Industries,FORANEO,III
1730,Dull Lime Stationer,proveedor_2,BigCom,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1732,Alive Orchid GipsyTrade,proveedor_2,Grocery,Bloody Yellow Town,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
1733,Bad Dark Bank,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Marvitrus Ifonforge Industries,METRO,V
1734,Old Lavender Laundrette,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1735,New Azure GreatShop,proveedor_2,Grocery,Tiny Indigo Tree,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1736,Big Aquamarine BookShop,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1737,Evil Aqua Cafe,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1738,Angry Chocolate SmallShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1739,Bloody Violet BigCenter,proveedor_2,Grocery,First Coral Jungle,Erodmo,BAJÍO,Lorrodthril Corp.,FORANEO,III
1740,Awesome Brown AllInOne,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1741,Funny Turquoise HairDresser,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
1742,Dull Lime Shop,proveedor_2,Grocery,Rare Lemon Key,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1744,Big Grey SmallShop,proveedor_2,Grocery,Dead Orchid Stone,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
1747,Young Crimson Tobacconist,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1748,First Brown Shop,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1749,Singing Khaki HighShop,proveedor_2,Grocery,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1751,Dangerous White Center,proveedor_2,Grocery,Last Purple Vessel,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
1752,Alive Brown Deli,proveedor_2,Grocery,Last Purple Vessel,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
1755,Interesting Aquamarine BigCenter,proveedor_2,SmallShop,Horrible Sea Green Waters,Alloralf,CENTRO,Bariolor Industrail,DISTRIBUIDORES,IV
1758,Young Lime TinyShop,proveedor_2,SmallShop,New Purple Creek,Lorgornna,CENTRO-SUR,Gornalfrod Toughworks,DISTRIBUIDORES,VI
1759,Kicking Khaki SmallShop,proveedor_2,SmallShop,Young Navy Dirt,Lorgornco,CENTRO,Vitgusmad Industrail,DISTRIBUIDORES,IV
1761,Dangerous Yellow AllInOne,proveedor_2,SmallShop,Dangerous Violet Star,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1762,Funny Burgundy Bank,proveedor_2,SmallShop,Long Yellow City,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
1763,Dull Salmon Center,proveedor_2,AllInOne,Impressive Orchid Soil,Madgulrus,NOROESTE,Lorvalval Inc.,FORANEO,II
1765,Impressive Turquoise Jeweller,proveedor_2,AllInOne,Old Golden Vessel,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
1766,Funny Khaki SmallShop,proveedor_2,SmallShop,Evil Chartreuse Valley,Madgulrus,NORESTE,Barrusgul Corp.,FORANEO,II
1767,Empty Chartreuse Market,proveedor_2,AllInOne,Great Navy Stone,Madgulrus,NORESTE,Barrusgul Corp.,FORANEO,II
1768,Clean Chocolate Fishmonger,proveedor_2,AllInOne, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1770,Great Dark BigCenter,proveedor_2,Leftorium,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
1771,Kicking Golden Jeweller,proveedor_2,Grocery,Massive Blue Jungle,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1776,Big Magenta Tobacconist,proveedor_2,Grocery,Massive Blue Jungle,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1777,Legendary Silver Jeweller,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Marvitrus Ifonforge Industries,METRO,V
1779,Funny Sea Green AllInOne,proveedor_2,Grocery,New Aqua Jungle,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
1780,Alive Olive Deli,proveedor_2,SmallShop,Big Grey Baton,Alfrusma,OCCIDENTE,Barthrilal Vocals,FORANEO,III
1781,Horrible Cyan Baker,proveedor_2,Grocery,Evil White Baton,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1782,Tiny Turquoise Baker,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1783,Little Pink BookShop,proveedor_2,SmallShop,First Dark Applepie,Coalmar,SURESTE,Thothrilmar Ifonforge Industries,DISTRIBUIDORES,VI
1784,Singing Khaki SmallShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Rusrusmo Toughworks,METRO,V
1786,Long Lavender GreatShop,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1787,Great Cyan Stationer,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
1788,Little Burgundy Butcher,proveedor_2,Grocery,Massive Indigo Burgo,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1789,Small Orange TinyShop,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1790,Rare Coral GipsyTrade,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
1794,Great Sky Blue CoffeShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
1796,Alive Blue Fishmonger,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Thrilvallor Corp.,METRO,V
1800,New Lime BookShop,proveedor_2,Grocery,Last Pink River,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1801,Dead Beige BookShop,proveedor_2,Leftorium, Burgundy Town,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1802,Impressive Purple CoffeShop,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1804,Evil Cyan SuperMarket,proveedor_2,Leftorium,Old Golden Vessel,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
1805,Kicking Beige SmallShop,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1806,Funny Azure SmallShop,proveedor_2,Grocery, Burgundy Town,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1807,Impressive Grey Deli,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1808,Young Orange Convenience,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1809,Big Lemon Butcher,proveedor_2,Grocery,Interesting Magenta Soil,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1811,Awful Golden BigCenter,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1813,Last Turquoise Market,proveedor_2,SmallShop,Massive Turquoise Jungle,Alloralf,CENTRO,Rusbarar Industrail,DISTRIBUIDORES,IV
1814,Bizarre Purple Center,proveedor_2,SmallShop,High Grey Valley,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
1816,Tall Aquamarine Stationer,proveedor_2,SmallShop,Legendary White Ship,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
1818,Angry Fuchsia Stationer,proveedor_2,SmallShop,Old Navy Barrier,Alfrusma,CENTRO-SUR,Thorusrus Vocals,DISTRIBUIDORES,III
1819,Old Blue TallMarket,proveedor_2,SmallShop,Enlightened Lemon Ship,Eemar,SURESTE,Malormad Corp.,FORANEO,II
1820,Bad Lime Center,proveedor_2,SmallShop,Bizarre Coral Valley,Gulvitval,NORESTE,Barrusgul Corp.,FORANEO,II
1823,Evil Black Leftorium,proveedor_2,AllInOne,Funny Salmon Vessel,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1824,Singing Blue TallMarket,proveedor_2,AllInOne,Awesome Lavender River,Armamo,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
1827,Clean Aqua Jeweller,proveedor_2,Grocery,High Sea Green Tree,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
1828,Young Khaki Cafe,proveedor_2,AllInOne,Angry Indigo Applepie,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1829,Old Beige Shop,proveedor_2,AllInOne,Interesting Chocolate Stone,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
1830,Tiny Purple BigCenter,proveedor_2,AllInOne,Massive Blue Jungle,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1832,Dull Burgundy Market,proveedor_2,GipsyTrade,Empty Chartreuse Butter,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1833,Old Turquoise Bank,proveedor_2,Leftorium,Interesting Magenta Soil,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1834,Impressive Turquoise GipsyTrade,proveedor_2,Leftorium,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1837,Old Maroon GreatShop,proveedor_2,Grocery,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
1838,Long Sea Green AllInOne,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1839,Little Orchid GreatShop,proveedor_2,Grocery,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1841,Empty Golden Leftorium,proveedor_2,AllInOne,Old Orchid Metropolis,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
1843,Bizarre Golden CoffeShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1847,Funny Burgundy Fishmonger,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
1848,Bizarre Cyan Cafe,proveedor_2,Grocery,Angry Navy Empire,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1849,Awful Golden CoffeShop,proveedor_2,Grocery,Last Pink River,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1850,Bizarre Orchid BigCenter,proveedor_2,BigCom,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
1851,Horrible Black Leftorium,proveedor_2,Grocery,Legendary Grey Bay,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1852,Big Red Center,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1853,Enlightened Sea Green CoffeShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1854,Big Violet Chemist,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1855,Tall Lemon LunchHall,proveedor_2,Grocery,Legendary Orange Dirt,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1856,Awesome Pink Center,proveedor_2,Grocery,Funny Salmon Vessel,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1857,High Azure LunchHall,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1859,Dangerous Magenta Florist,proveedor_2,Grocery,Enlightened Sea Green Butter,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1860,First Black Baker,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1861,Little Black SmallShop,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1863,Dead Cyan HighShop,proveedor_2,SmallShop,Dangerous Brown Key,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
1864,Funny Purple Bank,proveedor_2,SmallShop, Burgundy Town,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1865,Big White BigCom,proveedor_2,Grocery,Awful Indigo Pine,Alfrusma,OCCIDENTE,Lorlorval Gmbh,DISTRIBUIDORES,III
1867,Tiny Blue HighShop,proveedor_2,AllInOne,Clean Chartreuse Valley,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1868,Evil Olive HighShop,proveedor_2,Grocery,Awful Indigo Pine,Alfrusma,OCCIDENTE,Lorlorval Gmbh,DISTRIBUIDORES,III
1869,Short Lime Baker,proveedor_2,Grocery,High Sea Green Tree,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
1870, Lavender Chemist,proveedor_2,AllInOne,Old Lavender Shop,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1872,Little Lime GipsyTrade,proveedor_2,Grocery,Interesting Magenta Soil,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1873,Defiant Green SuperMarket,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1875,Last Aquamarine SuperMarket,proveedor_2,Grocery,Young Blue Beach,Gulvitval,NORESTE,Barrusgul Corp.,FORANEO,II
1878,Big Navy BigCom,proveedor_2,Grocery,Great Beige River,Thogulgul,NORESTE,Barrusgul Corp.,FORANEO,II
1879,Dull Chartreuse TallMarket,proveedor_2,Grocery,Angry Navy Empire,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1880,High Brown HairDresser,proveedor_2,BigCom,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1881,First Purple Grocery,proveedor_2,Grocery,Awful Beige ,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
1882,Rare Salmon Convenience,proveedor_2,Grocery,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
1884,Awesome Turquoise Mall,proveedor_2,Grocery,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
1885,Rare White LunchHall,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1886,Little Dark AllInOne,proveedor_2,Grocery,Tall Cyan Key,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1887,Tall Aqua HighShop,proveedor_2,Grocery,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1888,Bloody Sea Green TinyShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Marvitrus Ifonforge Industries,METRO,V
1889,Clean Silver Chemist,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1891,Big Aquamarine Cafe,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
1892,Kicking Coral HairDresser,proveedor_2,Grocery,Enlightened Violet Capital,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
1893,High Pink Grocery,proveedor_2,SmallShop,Clean Orchid Ledge,Thrilvallor,SURESTE,Evitrus Inc.,DISTRIBUIDORES,IV
1894,Funny Crimson BigCenter,proveedor_2,SmallShop,Bloody Black Applepie,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
1895,Bad Salmon Center,proveedor_2,Grocery,First Coral Jungle,Erodmo,BAJÍO,Lorrodthril Corp.,FORANEO,III
1897,Great Yellow Butcher,proveedor_2,AllInOne,Dirty Azure Ship,Rodbare,SUROESTE,Gornmoco Corp.,DISTRIBUIDORES,VI
1899,Awful Turquoise Convenience,proveedor_2,AllInOne,Massive Blue Jungle,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1900,Dull Orchid Butcher,proveedor_2,AllInOne,Interesting Magenta Soil,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1901,Small Fuchsia BigCenter,proveedor_2,SmallShop,Bloody White ,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
1902,Old Beige AllInOne,proveedor_2,Leftorium,Awesome Blue City,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
1903,Legendary Orange BigCenter,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1904,Dull Dark Stationer,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1905,Awful Silver Bank,proveedor_2,Grocery,Bloody Maroon Pine,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1906,Clean Chartreuse Shop,proveedor_2,Grocery,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
1907,Dangerous Chartreuse Laundrette,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
1908, Lavender Shop,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1909,Tall Lemon Deli,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1910,Empty Beige Shop,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1911,Interesting Beige Jeweller,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1912,Bad Black Jeweller,proveedor_2,Grocery,Legendary Orange Dirt,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
1913,Angry Salmon Center,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
1914,First Pink SuperMarket,proveedor_2,Grocery,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1915,Long Salmon Baker,proveedor_2,Grocery,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1918,Impressive Magenta Tobacconist,proveedor_2,Grocery,Clean Chartreuse Valley,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
1919,Awful Red Laundrette,proveedor_2,SmallShop,Dangerous Olive Comet,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
1921,Awesome Sea Green BookShop,proveedor_2,SmallShop,Kicking Fuchsia Key,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
1922,New Orange Cafe,proveedor_2,SmallShop,Horrible Purple Valley,Lorgornna,SUROESTE,Thocoma Gmbh,DISTRIBUIDORES,VI
1923,Rare Red GreatShop,proveedor_2,AllInOne, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
1926,Awesome Orchid Chemist,proveedor_2,Grocery,Great Beige River,Thogulgul,NORESTE,Thrilmamad Vocals,FORANEO,II
1927,Dirty Aquamarine Baker,proveedor_2,AllInOne,Funny Grey Jungle,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
1930,High Olive Market,proveedor_2,AllInOne,Angry Navy Empire,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1931,Bizarre Turquoise LunchHall,proveedor_2,AllInOne,Clean Navy River,Valargorn,NOROESTE,Lorealf Industrail,FORANEO,II
1935,First Magenta BigCom,proveedor_2,Grocery,Bloody Maroon Pine,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1936,Dull Maroon GipsyTrade,proveedor_2,Grocery,Tiny Chocolate River,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
1937,Angry Violet Stationer,proveedor_2,Grocery,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
1938,First Coral BookShop,proveedor_2,Grocery,Bad Silver Dirt,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1940,Dull Lavender BigCenter,proveedor_2,Grocery,Funny Chartreuse City,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1942,Old Orange Mall,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
1943,Awful Khaki HairDresser,proveedor_2,AllInOne,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
1944,Tiny Dark Bank,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1945,Short Aqua GreatShop,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1946,Last Golden Convenience,proveedor_2,Grocery,Rare Lemon Key,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
1947,Dull Lavender Jeweller,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
1949,Enlightened Purple Market,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
1951,Interesting Lemon Center,proveedor_2,SmallShop,Dull White Metropolis,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
1952,Long Salmon Mall,proveedor_2,SmallShop,Short Red Ball,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
